team,matches_played,wins,draws,losses,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,win_rate,draw_rate,loss_rate,goal_difference
Bahrain,583,207,154,222,725,754,1.2435677530017153,1.2933104631217838,0.35506003430531735,0.2641509433962264,0.38078902229845624,-29
Australia,579,296,122,161,1166,617,2.0138169257340244,1.0656303972366148,0.5112262521588946,0.21070811744386875,0.27806563039723664,549
Mali,568,232,151,185,746,624,1.3133802816901408,1.0985915492957747,0.4084507042253521,0.2658450704225352,0.3257042253521127,122
Guatemala,552,199,140,213,773,755,1.4003623188405796,1.3677536231884058,0.3605072463768116,0.2536231884057971,0.3858695652173913,18
Estonia,548,134,122,292,542,974,0.9890510948905109,1.7773722627737227,0.24452554744525548,0.22262773722627738,0.5328467153284672,-432
Oman,542,206,137,199,701,680,1.2933579335793357,1.2546125461254614,0.3800738007380074,0.25276752767527677,0.3671586715867159,21
Guinea,538,200,153,185,730,659,1.3568773234200744,1.224907063197026,0.37174721189591076,0.2843866171003718,0.34386617100371747,71
Panama,535,181,132,222,670,813,1.2523364485981308,1.519626168224299,0.3383177570093458,0.2467289719626168,0.41495327102803736,-143
Bolivia,532,119,119,294,545,1043,1.0244360902255638,1.9605263157894737,0.2236842105263158,0.2236842105263158,0.5526315789473685,-498
India,530,190,119,221,728,855,1.3735849056603773,1.6132075471698113,0.3584905660377358,0.22452830188679246,0.4169811320754717,-127
DR Congo,522,206,143,173,778,625,1.4904214559386972,1.1973180076628354,0.3946360153256705,0.2739463601532567,0.3314176245210728,153
Czechoslovakia,520,236,119,165,984,721,1.8923076923076922,1.3865384615384615,0.45384615384615384,0.22884615384615384,0.3173076923076923,263
Iceland,520,159,102,259,632,872,1.2153846153846153,1.676923076923077,0.3057692307692308,0.19615384615384615,0.4980769230769231,-240
Myanmar,510,209,90,211,814,840,1.5960784313725491,1.6470588235294117,0.40980392156862744,0.17647058823529413,0.4137254901960784,-26
Haiti,508,215,110,183,833,684,1.639763779527559,1.3464566929133859,0.42322834645669294,0.21653543307086615,0.36023622047244097,149
Israel,497,180,116,201,749,737,1.5070422535211268,1.482897384305835,0.36217303822937624,0.23340040241448692,0.4044265593561368,12
Zimbabwe,494,189,139,166,659,589,1.334008097165992,1.1923076923076923,0.3825910931174089,0.2813765182186235,0.3360323886639676,70
Yugoslavia,483,223,98,162,942,756,1.950310559006211,1.565217391304348,0.4616977225672878,0.2028985507246377,0.33540372670807456,186
Syria,483,173,120,190,691,634,1.4306418219461698,1.3126293995859213,0.3581780538302277,0.2484472049689441,0.39337474120082816,57
Jordan,479,178,134,167,613,533,1.279749478079332,1.1127348643006263,0.37160751565762007,0.2797494780793319,0.348643006263048,80
South Africa,477,213,144,120,648,454,1.3584905660377358,0.9517819706498952,0.44654088050314467,0.3018867924528302,0.25157232704402516,194
Sudan,469,151,118,200,508,634,1.0831556503198294,1.35181236673774,0.32196162046908317,0.2515991471215352,0.42643923240938164,-126
Canada,467,178,107,182,605,611,1.2955032119914347,1.3083511777301928,0.3811563169164882,0.2291220556745182,0.3897216274089936,-6
Luxembourg,465,49,63,353,295,1203,0.6344086021505376,2.587096774193548,0.1053763440860215,0.13548387096774195,0.7591397849462366,-908
Burkina Faso,462,164,122,176,578,612,1.251082251082251,1.3246753246753247,0.354978354978355,0.26406926406926406,0.38095238095238093,-34
Latvia,459,128,110,221,540,762,1.1764705882352942,1.6601307189542485,0.2788671023965142,0.23965141612200436,0.48148148148148145,-222
Venezuela,458,116,101,241,480,854,1.0480349344978166,1.8646288209606987,0.25327510917030566,0.2205240174672489,0.5262008733624454,-374
Malta,456,64,78,314,295,1025,0.6469298245614035,2.2478070175438596,0.14035087719298245,0.17105263157894737,0.6885964912280702,-730
Togo,445,140,113,192,486,618,1.0921348314606742,1.3887640449438203,0.3146067415730337,0.2539325842696629,0.4314606741573034,-132
Hong Kong,444,141,96,207,640,730,1.4414414414414414,1.6441441441441442,0.31756756756756754,0.21621621621621623,0.46621621621621623,-90
Lithuania,431,111,83,237,430,784,0.9976798143851509,1.8190255220417633,0.25754060324825984,0.1925754060324826,0.5498839907192575,-354
Cyprus,424,81,71,272,372,926,0.8773584905660378,2.1839622641509435,0.19103773584905662,0.16745283018867924,0.6415094339622641,-554
New Zealand,414,172,73,169,729,619,1.7608695652173914,1.4951690821256038,0.41545893719806765,0.17632850241545894,0.4082125603864734,110
Angola,413,140,147,126,466,427,1.1283292978208233,1.0338983050847457,0.3389830508474576,0.3559322033898305,0.3050847457627119,39
Ethiopia,407,143,92,172,547,594,1.343980343980344,1.4594594594594594,0.35135135135135137,0.22604422604422605,0.4226044226044226,-47
Congo,406,134,99,173,523,598,1.2881773399014778,1.4729064039408868,0.33004926108374383,0.2438423645320197,0.42610837438423643,-75
Gabon,405,141,114,150,477,484,1.1777777777777778,1.1950617283950618,0.34814814814814815,0.2814814814814815,0.37037037037037035,-7
Suriname,399,173,93,133,750,565,1.8796992481203008,1.4160401002506267,0.43358395989974935,0.23308270676691728,0.3333333333333333,185
Cuba,397,139,90,168,532,605,1.3400503778337531,1.5239294710327456,0.3501259445843829,0.22670025188916876,0.42317380352644834,-73
Albania,396,110,84,202,377,587,0.952020202020202,1.4823232323232323,0.2777777777777778,0.21212121212121213,0.51010101010101,-210
Croatia,394,208,104,82,686,397,1.7411167512690355,1.0076142131979695,0.5279187817258884,0.2639593908629442,0.20812182741116753,289
North Korea,390,162,106,122,628,435,1.6102564102564103,1.1153846153846154,0.4153846153846154,0.2717948717948718,0.3128205128205128,193
Libya,384,143,92,149,500,466,1.3020833333333333,1.2135416666666667,0.3723958333333333,0.23958333333333334,0.3880208333333333,34
Curaçao,383,142,100,141,630,604,1.6449086161879896,1.577023498694517,0.370757180156658,0.26109660574412535,0.3681462140992167,26
Mozambique,374,118,95,161,387,484,1.03475935828877,1.2941176470588236,0.3155080213903743,0.2540106951871658,0.4304812834224599,-97
Slovakia,365,148,85,132,514,455,1.4082191780821918,1.2465753424657535,0.4054794520547945,0.2328767123287671,0.36164383561643837,59
Czech Republic,358,189,72,97,636,366,1.776536312849162,1.0223463687150838,0.5279329608938548,0.2011173184357542,0.2709497206703911,270
Uzbekistan,352,169,73,110,612,390,1.7386363636363635,1.1079545454545454,0.48011363636363635,0.20738636363636365,0.3125,222
Serbia,346,155,89,102,530,374,1.5317919075144508,1.0809248554913296,0.4479768786127168,0.25722543352601157,0.2947976878612717,156
Philippines,338,91,52,195,402,776,1.1893491124260356,2.2958579881656807,0.2692307692307692,0.15384615384615385,0.5769230769230769,-374
Ukraine,336,151,94,91,472,356,1.4047619047619047,1.0595238095238095,0.4494047619047619,0.27976190476190477,0.2708333333333333,116
Lebanon,333,93,92,148,385,469,1.1561561561561562,1.4084084084084083,0.27927927927927926,0.27627627627627627,0.4444444444444444,-84
Botswana,332,90,92,150,268,426,0.8072289156626506,1.283132530120482,0.2710843373493976,0.27710843373493976,0.45180722891566266,-158
Martinique,331,145,85,101,586,431,1.770392749244713,1.3021148036253776,0.4380664652567976,0.256797583081571,0.30513595166163143,155
Mauritius,325,91,72,162,412,523,1.2676923076923077,1.6092307692307692,0.28,0.22153846153846155,0.49846153846153846,-111
Benin,323,84,78,161,350,555,1.08359133126935,1.7182662538699691,0.26006191950464397,0.24148606811145512,0.4984520123839009,-205
Madagascar,319,118,73,128,434,480,1.3605015673981191,1.5047021943573669,0.36990595611285265,0.22884012539184953,0.4012539184952978,-46
Slovenia,315,114,85,116,390,369,1.2380952380952381,1.1714285714285715,0.3619047619047619,0.2698412698412698,0.3682539682539683,21
Guyana,313,103,61,149,428,550,1.3674121405750799,1.7571884984025559,0.329073482428115,0.19488817891373802,0.476038338658147,-122
Belarus,313,93,79,141,357,461,1.1405750798722045,1.4728434504792332,0.2971246006389776,0.2523961661341853,0.4504792332268371,-104
Azerbaijan,308,60,79,169,236,517,0.7662337662337663,1.6785714285714286,0.19480519480519481,0.2564935064935065,0.5487012987012987,-281
Georgia,305,99,64,142,380,430,1.2459016393442623,1.4098360655737705,0.32459016393442625,0.2098360655737705,0.46557377049180326,-50
North Macedonia,304,95,79,130,365,408,1.200657894736842,1.3421052631578947,0.3125,0.2598684210526316,0.4276315789473684,-43
Bangladesh,304,79,66,159,274,555,0.9013157894736842,1.825657894736842,0.2598684210526316,0.21710526315789475,0.5230263157894737,-281
Barbados,302,94,67,141,393,527,1.3013245033112584,1.7450331125827814,0.31125827814569534,0.22185430463576158,0.46688741721854304,-134
Liberia,300,78,70,152,267,443,0.89,1.4766666666666666,0.26,0.23333333333333334,0.5066666666666667,-176
Sierra Leone,299,90,78,131,288,412,0.9632107023411371,1.3779264214046822,0.3010033444816054,0.2608695652173913,0.43812709030100333,-124
German DR,298,140,66,92,506,361,1.6979865771812082,1.2114093959731544,0.4697986577181208,0.2214765100671141,0.3087248322147651,145
Vietnam,297,128,59,110,489,406,1.6464646464646464,1.367003367003367,0.43097643097643096,0.19865319865319866,0.37037037037037035,83
Moldova,297,58,68,171,240,519,0.8080808080808081,1.7474747474747474,0.19528619528619529,0.22895622895622897,0.5757575757575758,-279
Lesotho,295,54,93,148,229,465,0.7762711864406779,1.576271186440678,0.18305084745762712,0.3152542372881356,0.5016949152542373,-236
Cambodia,293,63,41,189,324,760,1.10580204778157,2.5938566552901023,0.2150170648464164,0.13993174061433447,0.6450511945392492,-436
Faroe Islands,285,56,36,193,239,643,0.8385964912280702,2.256140350877193,0.19649122807017544,0.12631578947368421,0.6771929824561403,-404
Bosnia and Herzegovina,281,104,65,112,387,387,1.3772241992882561,1.3772241992882561,0.3701067615658363,0.2313167259786477,0.398576512455516,0
Rwanda,280,88,74,118,289,336,1.0321428571428573,1.2,0.3142857142857143,0.2642857142857143,0.42142857142857143,-47
Namibia,279,70,80,129,273,397,0.978494623655914,1.4229390681003584,0.25089605734767023,0.2867383512544803,0.46236559139784944,-124
Eswatini,274,55,83,136,231,455,0.843065693430657,1.6605839416058394,0.20072992700729927,0.3029197080291971,0.49635036496350365,-224
Guadeloupe,271,115,47,109,463,390,1.7084870848708487,1.4391143911439115,0.42435424354243545,0.17343173431734318,0.4022140221402214,73
Armenia,270,65,55,150,272,497,1.0074074074074073,1.8407407407407408,0.24074074074074073,0.2037037037037037,0.5555555555555556,-225
Mauritania,269,51,70,148,195,428,0.724907063197026,1.5910780669144982,0.1895910780669145,0.26022304832713755,0.550185873605948,-233
Nepal,268,63,47,158,229,602,0.8544776119402985,2.246268656716418,0.23507462686567165,0.17537313432835822,0.5895522388059702,-373
Fiji,267,116,48,103,607,437,2.2734082397003745,1.6367041198501873,0.4344569288389513,0.1797752808988764,0.3857677902621723,170
Kazakhstan,267,71,59,137,307,440,1.149812734082397,1.647940074906367,0.26591760299625467,0.2209737827715356,0.5131086142322098,-133
Yemen,266,53,54,159,259,577,0.9736842105263158,2.169172932330827,0.19924812030075187,0.20300751879699247,0.5977443609022557,-318
New Caledonia,265,136,34,95,698,369,2.6339622641509433,1.3924528301886792,0.5132075471698113,0.12830188679245283,0.3584905660377358,329
Gambia,265,73,75,117,278,367,1.049056603773585,1.3849056603773584,0.27547169811320754,0.2830188679245283,0.44150943396226416,-89
Grenada,259,86,56,117,422,479,1.6293436293436294,1.8494208494208495,0.33204633204633205,0.21621621621621623,0.4517374517374517,-57
Niger,258,61,61,136,255,421,0.9883720930232558,1.6317829457364341,0.2364341085271318,0.2364341085271318,0.5271317829457365,-166
Liechtenstein,257,19,32,206,105,722,0.4085603112840467,2.809338521400778,0.07392996108949416,0.1245136186770428,0.8015564202334631,-617
Sri Lanka,248,49,47,152,237,566,0.9556451612903226,2.282258064516129,0.1975806451612903,0.18951612903225806,0.6129032258064516,-329
Pakistan,244,50,43,151,225,573,0.9221311475409836,2.348360655737705,0.20491803278688525,0.1762295081967213,0.6188524590163934,-348
Tahiti,242,131,31,80,657,371,2.7148760330578514,1.5330578512396693,0.5413223140495868,0.128099173553719,0.3305785123966942,286
Palestine,241,69,68,104,322,342,1.3360995850622406,1.4190871369294606,0.2863070539419087,0.2821576763485477,0.4315352697095436,-20
Guernsey,240,145,25,70,616,313,2.566666666666667,1.3041666666666667,0.6041666666666666,0.10416666666666667,0.2916666666666667,303
Taiwan,237,64,30,143,306,605,1.2911392405063291,2.5527426160337554,0.270042194092827,0.12658227848101267,0.6033755274261603,-299
Saint Vincent and the Grenadines,236,88,51,97,372,442,1.576271186440678,1.8728813559322033,0.3728813559322034,0.21610169491525424,0.4110169491525424,-70
Jersey,235,153,20,62,645,285,2.74468085106383,1.2127659574468086,0.6510638297872341,0.0851063829787234,0.26382978723404255,360
Cape Verde,233,88,56,89,255,262,1.094420600858369,1.1244635193133048,0.3776824034334764,0.24034334763948498,0.38197424892703863,-7
Antigua and Barbuda,231,71,43,117,306,423,1.3246753246753247,1.8311688311688312,0.30735930735930733,0.18614718614718614,0.5064935064935064,-117
Maldives,231,63,38,130,277,522,1.199134199134199,2.25974025974026,0.2727272727272727,0.1645021645021645,0.5627705627705628,-245
Saint Lucia,230,80,33,117,327,438,1.4217391304347826,1.9043478260869566,0.34782608695652173,0.14347826086956522,0.508695652173913,-111
Saint Kitts and Nevis,226,90,42,94,387,372,1.7123893805309736,1.6460176991150441,0.39823008849557523,0.18584070796460178,0.415929203539823,15
Andorra,226,13,31,182,73,539,0.3230088495575221,2.3849557522123894,0.05752212389380531,0.13716814159292035,0.8053097345132744,-466
Laos,224,42,34,148,227,701,1.0133928571428572,3.1294642857142856,0.1875,0.15178571428571427,0.6607142857142857,-474
San Marino,223,3,11,209,42,886,0.18834080717488788,3.9730941704035874,0.013452914798206279,0.04932735426008968,0.9372197309417041,-844
Nicaragua,220,51,26,143,234,530,1.0636363636363637,2.409090909090909,0.2318181818181818,0.11818181818181818,0.65,-296
Burundi,217,65,52,100,237,290,1.0921658986175116,1.336405529953917,0.2995391705069124,0.23963133640552994,0.4608294930875576,-53
Dominica,215,52,46,117,250,436,1.1627906976744187,2.027906976744186,0.24186046511627907,0.21395348837209302,0.5441860465116279,-186
Solomon Islands,214,90,35,89,462,421,2.1588785046728973,1.9672897196261683,0.4205607476635514,0.16355140186915887,0.4158878504672897,41
Vanuatu,213,68,29,116,401,459,1.8826291079812207,2.1549295774647885,0.3192488262910798,0.13615023474178403,0.5446009389671361,-58
Zanzibar,209,44,41,124,191,436,0.9138755980861244,2.0861244019138754,0.21052631578947367,0.19617224880382775,0.5933014354066986,-245
Tajikistan,199,77,42,80,295,276,1.4824120603015076,1.3869346733668342,0.3869346733668342,0.21105527638190955,0.4020100502512563,19
Bermuda,197,67,33,97,325,349,1.649746192893401,1.7715736040609138,0.3401015228426396,0.16751269035532995,0.49238578680203043,-24
Vietnam Republic,195,82,37,76,364,312,1.8666666666666667,1.6,0.4205128205128205,0.18974358974358974,0.38974358974358975,52
Guinea-Bissau,190,52,44,94,189,280,0.9947368421052631,1.4736842105263157,0.2736842105263158,0.23157894736842105,0.49473684210526314,-91
